object_name,clip_ds_score,editing_prompt
cabinet_4_yellow,0.1241,a yellow cabinet
couch_5_glass,0.0051,"a sleek, modern couch, made of translucent frosted glass with minimalist design"
chair_1_cyberpunk,0.3150,"a cyberpunk chair, made of dark chrome and glowing purple circuits"
table_1_cyberpunk,0.1387,"a cyberpunk table, made of dark chrome and glowing purple circuits"
table_102_yellow,0.1951,a yellow table
table_2_art_deco,0.0953,"a luxurious art deco style table, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
chair_4_cyberpunk,0.2757,"a cyberpunk chair, made of dark chrome and glowing purple circuits"
cabinet_4_glass,0.0465,"a sleek, modern cabinet, made of translucent frosted glass with minimalist design"
cabinet_1_wooden,0.1250,"a cozy cabinet, made of warm, natural oak wood with a smooth finish"
chair_103_glass,0.0122,"a sleek, modern chair, made of translucent frosted glass with minimalist design"
bed_2_steampunk,0.0413,"a masterpiece steampunk bed, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
table_107_glass,0.1068,"a sleek, modern table, made of translucent frosted glass with minimalist design"
couch_101_wooden,0.1404,"a cozy couch, made of warm, natural oak wood with a smooth finish"
couch_6_ghibli,0.1364,"a couch in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
table_102_bioluminescent,0.0943,"a magical table made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
table_2_yellow,0.1127,a yellow table
couch_7_ghibli,0.0392,"a couch in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
couch_9_art_deco,0.1354,"a luxurious art deco style couch, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
couch_101_yellow,0.3113,a yellow couch
bed_2_ghibli,0.1658,"a bed in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
couch_103_wooden,0.1741,"a cozy couch, made of warm, natural oak wood with a smooth finish"
chair_4_glass,-0.0463,"a sleek, modern chair, made of translucent frosted glass with minimalist design"
chair_101_steampunk,0.0697,"a masterpiece steampunk chair, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
